순번(No),시설물명,시설물구분,시설물종류,종별,관리주체구분,항목명,위치
48,서부트럭터미널앞 지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,075.0 m, 차로수 : 4",서울특별시 양천구
49,미래지하차도(BRT지하차도),터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 630.0 m, 차로수 : 2",세종특별자치시
50,사오리지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,825.0 m, 차로수 : 6",세종특별자치시
51,주추지하차도,터널,지하차도,1종,공공,"형식 : 미등록 / 연장 : 2,803.0 m, 차로수 : 6",세종특별자치시
52,대송지하차도,터널,지하차도,1종,민간,"형식 : 박스형 / 연장 : 640.0 m, 차로수 : 4",울산광역시 동구
53,루원지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,280.0 m, 차로수 : 4",인천광역시 서구
54,중봉지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,932.3 m, 차로수 : 4",인천광역시 서구
55,청라국제지하차도,터널,지하차도,1종,민간,"형식 : 함형 / 연장 : 2,580.0 m, 차로수 : 6",인천광역시 서구
56,두빛나래 지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 740.0 m, 차로수 : 6",인천광역시 중구
57,서천도월지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 980.0 m, 차로수 : 4",전라남도 광양시
58,옥암지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 650.0 m, 차로수 : 4",전라남도 목포시
59,오룡지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,045.0 m, 차로수 : 4",전라남도 무안군
60,천안로 지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 700.0 m, 차로수 : 4",충청남도 천안시
61,내포지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 930.0 m, 차로수 : 4",충청남도 홍성군
62,단계지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 145.0 m, 차로수 : 4",강원특별자치도 원주시
63,춘천역 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 482.5 m, 차로수 : 4",강원특별자치도 춘천시
64,절골지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 375.0 m, 차로수 : 2",강원특별자치도 태백시
65,강매지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 444.0 m, 차로수 : 6",경기도 고양시
66,강촌로지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 270.0 m, 차로수 : 4",경기도 고양시
67,구산지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 391.0 m, 차로수 : 1",경기도 고양시
68,내곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 126.0 m, 차로수 : 4",경기도 고양시
69,백마지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 260.0 m, 차로수 : 4",경기도 고양시
70,법곳지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 470.0 m, 차로수 : 6",경기도 고양시
71,벽제지하차도(문산),터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 3",경기도 고양시
72,벽제지하차도(서울),터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 3",경기도 고양시
73,서오릉지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 388.0 m, 차로수 : 4",경기도 고양시
74,신원지하차도,터널,지하차도,2종,공공,"형식 : B-TYPE / 연장 : 466.0 m, 차로수 : 6",경기도 고양시
75,신평IC지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 6",경기도 고양시
76,원흥지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 441.0 m, 차로수 : 4",경기도 고양시
77,일산지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 350.0 m, 차로수 : 2",경기도 고양시
78,킨텍스 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 9",경기도 고양시
79,풍산지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 390.0 m, 차로수 : 4",경기도 고양시
80,한류월드IC지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 6",경기도 고양시
81,행신지하차도(본체 및 종점부),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 290.0 m, 차로수 : 6",경기도 고양시
82,행신지하차도(시점부),터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 140.0 m, 차로수 : 6",경기도 고양시
83,관문지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 140.0 m, 차로수 : 4",경기도 과천시
84,매헌지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 401.0 m, 차로수 : 5",경기도 과천시
85,상아벌지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 280.0 m, 차로수 : 5",경기도 과천시
86,옥탑지하차도,터널,지하차도,2종,공공,"형식 : 아치형 / 연장 : 106.0 m, 차로수 : 7",경기도 과천시
87,찬우물지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 188.0 m, 차로수 : 2",경기도 과천시
88,광명지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 330.0 m, 차로수 : 4",경기도 광명시
89,능촌지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 430.0 m, 차로수 : 4",경기도 광명시
90,덕안터널,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 366.6 m, 차로수 : 6",경기도 광명시
91,소하지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 398.0 m, 차로수 : 4",경기도 광명시
92,하안지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 115.0 m, 차로수 : 4",경기도 광명시
93,갈매지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 475.0 m, 차로수 : 4",경기도 구리시
94,갈매지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 8",경기도 구리시
95,담터지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 429.0 m, 차로수 : 4",경기도 구리시
96,당말지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 148.0 m, 차로수 : 4",경기도 군포시
97,당정지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 182.0 m, 차로수 : 4",경기도 군포시
98,대야지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 101.3 m, 차로수 : 4",경기도 군포시
