지리정보(WKT),지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,지하차도명,총연장,총면적,구체연장,구체면적,구체높이,일반제원_통행제한 높이,폭원_계,폭원_차도,왕복차로수,대장초기화여부
"MULTIPOLYGON (((241678.930114746 413478.190124512,241675.180114746 413478.140075684,241675.030090332 413495.610107422,241690.560119629 413495.690124512,241703.780090332 413495.790100098,241712.480102539 413495.860107422,241756.970092773 413496.600097656,241774.300109863 413496.970092773,241794.990112305 413497.100097656,241796.940124512 413497.130126953,241809.700073242 413497.450073242,241834.900085449 413498.060119629,241861.080078125 413498.870117188,241870.910095215 413499.160095215,241880.92010498 413499.540100098,241890.880126953 413499.92010498,241899.130126953 413500.230102539,241907.090087891 413500.540100098,241908.300109863 413500.600097656,241915.17010498 413500.890075684,241923.030090332 413501.25012207,241929.630126953 413501.580078125,241939.260070801 413502.200073242,241949.660095215 413502.720092773,241957.050109863 413503.110107422,241962.650085449 413503.380126953,241966.210083008 413503.560119629,241970.370117188 413503.820129395,241974.930114746 413504.100097656,241978.930114746 413504.310119629,241982.640075684 413504.530090332,241988.300109863 413504.840087891,241996.380126953 413505.340087891,241999.630126953 413505.590087891,242004.540100098 413505.960083008,242011.040100098 413506.620117188,242016.340087891 413507.210083008,242026.950073242 413508.660095215,242036.650085449 413510.270080566,242046.280090332 413512.140075684,242054.120117188 413513.870117188,242059.400085449 413515.160095215,242066.740112305 413517.060119629,242073.270080566 413518.950073242,242078.300109863 413520.430114746,242082.760070801 413521.840087891,242089.710083008 413524.17010498,242095.490112305 413507.740112305,242090.660095215 413506.120117188,242081.220092773 413503.150085449,242071.740112305 413500.430114746,242065.850097656 413498.830078125,242054.840087891 413496.200073242,242038.840087891 413493.050109863,242031.360107422 413491.790100098,242023.220092773 413490.600097656,242015.780090332 413489.660095215,242008.830078125 413488.960083008,242000.540100098 413488.280090332,241992.510070801 413487.760070801,241984.42010498 413487.300109863,241976.540100098 413486.850097656,241968.520080566 413486.410095215,241960.410095215 413485.990112305,241952.160095215 413485.580078125,241943.830078125 413485.17010498,241930.590087891 413484.530090332,241919.760070801 413484.070129395,241897.120117188 413483.110107422,241864.140075684 413481.820129395,241852.75012207 413481.410095215,241849.590087891 413481.300109863,241846.130126953 413481.200073242,241843.550109863 413481.120117188,241839.92010498 413481.00012207,241832.460083008 413480.75012207,241828.760070801 413480.640075684,241826.450073242 413480.550109863,241819.700073242 413480.380126953,241807.490112305 413480.040100098,241803.160095215 413479.910095215,241796.900085449 413479.770080566,241795.220092773 413479.740112305,241786.450073242 413479.560119629,241776.460083008 413479.330078125,241766.440124512 413479.17010498,241757.060119629 413479.040100098,241755.800109863 413479.020080566,241745.890075684 413478.870117188,241735.620117188 413478.730102539,241727.810119629 413478.650085449,241719.940124512 413478.590087891,241712.00012207 413478.50012207,241703.340087891 413478.42010498,241694.960083008 413478.340087891,241686.230102539 413478.25012207,241678.930114746 413478.190124512)))",지하차도,14,대전광역시 동구 ,36710079,14074,판암지하차도,420,7268.83,0,0,5,0,0,0,4,1
"MULTIPOLYGON (((239488.42010498 409020.780090332,239487.710083008 409019.310119629,239481.080078125 409019.550109863,239481.67010498 409021.150085449,239501.180114746 409054.270080566,239507.600097656 409053.450073242,239507.150085449 409052.590087891,239488.42010498 409020.780090332)))",지하차도,15,대전광역시 동구 ,36710088,56891,,40,239.49,0,0,5,0,0,0,1,1
"MULTIPOLYGON (((235396.200073242 412216.92010498,235387.810119629 412214.090087891,235367.870117188 412276.220092773,235364.130126953 412286.790100098,235347.540100098 412336.690124512,235325.100097656 412404.640075684,235333.730102539 412407.060119629,235355.760070801 412341.030090332,235373.200073242 412286.830078125,235375.930114746 412278.870117188,235396.200073242 412216.92010498)))",지하차도,16,대전광역시 중구 ,36710076,20015,담대가도교,200,1775.85,0,0,0,0,0,0,4,1
"MULTIPOLYGON (((236184.160095215 408695.110107422,236191.980102539 408686.75012207,236186.990112305 408686.970092773,236182.990112305 408691.240112305,236177.480102539 408697.130126953,236154.340087891 408721.860107422,236153.220092773 408723.050109863,236146.830078125 408729.890075684,236151.470092773 408730.050109863,236158.190124512 408722.870117188,236159.320129395 408721.660095215,236182.330078125 408697.070129395,236182.75012207 408696.620117188,236184.160095215 408695.110107422)))",지하차도,17,대전광역시 중구 ,36710087,56894,,58,206.62,0,0,5,0,0,0,1,1
"MULTIPOLYGON (((234554.764099121 418028.735107422,234493.106079102 418028.931091309,234484.858093262 418028.957092285,234385.099121094 418029.239074707,234333.778076172 418029.197875977,234332.620117188 418028.981079102,234332.210083008 418045.075073242,234332.392089844 418044.879882812,234332.778076172 418044.770874023,234332.889099121 418044.765075684,234484.484130859 418045.312072754,234493.366088867 418045.296875,234554.69909668 418045.195129395,234566.458496094 418044.855895996,234592.010070801 418044.890075684,234601.090087891 418044.900085449,234605.620117188 418044.900085449,234605.360107422 418044.720092773,234604.960083008 418044.17010498,234604.740112305 418043.440124512,234604.730102539 418029.890075684,234604.820129395 418029.640075684,234605.070129395 418029.290100098,234594.472900391 418029.334289551,234554.764099121 418028.735107422)))",지하차도,18,대전광역시 서구 ,36710056,37122,정부청사지하차도,272,4361.99,0,0,0,0,0,0,4,1
"MULTIPOLYGON (((233890.610107422 416717.830078125,233869.910095215 416705.610107422,233850.92010498 416733.900085449,233833.42010498 416757.390075684,233815.060119629 416777.119873047,233796.460083008 416795.569885254,233778.100097656 416812.009887695,233758.42010498 416828.030090332,233743.140075684 416839.050109863,233721.720092773 416853.819885254,233688.970092773 416875.270080566,233701.730102539 416895.730102539,233735.110107422 416873.739929199,233756.970092773 416858.67010498,233773.030090332 416847.090087891,233793.690124512 416830.270080566,233812.930114746 416813.040100098,233832.300109863 416793.819885254,233851.880126953 416772.780090332,233870.520080566 416747.770080566,233890.610107422 416717.830078125)))",지하차도,19,대전광역시 서구 ,36710066,14067,갈마지하차도,256.3,6153.73,0,0,0,0,0,0,10,1
"MULTIPOLYGON (((234306.707092285 417816.176086426,234306.038085938 417798.025085449,234169.07611084 417797.74810791,234139.329101562 417797.767883301,234106.903076172 417797.790100098,234083.647094727 417797.806091309,234037.917114258 417797.837097168,233961.967102051 417797.889099121,233928.972106934 417797.910888672,233785.008117676 417797.929077148,233774.75012207 417798.077880859,233776.225097656 417815.94909668,233776.469116211 417815.74609375,233776.808105469 417815.69708252,233929.310119629 417815.580871582,233963.990112305 417815.546875,234036.393127441 417815.475097656,234084.117126465 417815.428100586,234106.834106445 417815.405090332,234140.100097656 417815.37310791,234168.415100098 417815.345092773,234304.69708252 417815.584106445,234305.141113281 417815.791870117,234306.707092285 417816.176086426)))",지하차도,20,대전광역시 서구 ,36710056,35364,둔산지하차도,530,9367.07,0,0,0,0,0,0,4,1
"MULTIPOLYGON (((234126.090087891 418608.866088867,234158.626098633 418608.860107422,234311.646118164 418609.127075195,234361.716125488 418609.24609375,234362.819091797 418584.743103027,234311.646118164 418584.569885254,234197.271118164 418584.184082031,234158.539123535 418584.183105469,234127.311096191 418584.183105469,234119.601074219 418584.181884766,234103.813110352 418584.181884766,234082.651123047 418584.181884766,234039.469116211 418584.181091309,233987.178100586 418584.179077148,233917.582092285 418584.178100586,233759.231079102 418584.861083984,233747.331115723 418584.912109375,233748.412109375 418609.558105469,233749.372070312 418609.476074219,233749.513122559 418609.256103516,233749.620117188 418609.142089844,233749.732116699 418609.022888184,233759.231079102 418609.015930176,233918.200073242 418608.905090332,233986.67010498 418608.892089844,234039.217102051 418608.882873535,234082.829101562 418608.874084473,234103.716125488 418608.869873047,234119.353088379 418608.868103027,234126.090087891 418608.866088867)))",지하차도,21,대전광역시 서구 ,36710056,46993,한밭지하차도,612,15115.68,0,0,0,0,0,0,6,1
"MULTIPOLYGON (((234127.032000001 420056.595000004,234127.016000002 420047.263,233992.654308661 420044.588331621,233937.865127182 420016.135043256,233934.593008313 420023.988710167,233992.408223016 420055.681079503,234127.032000001 420056.595000004)))",지하차도,22,대전광역시 유성구 ,36710046,12995,엑스포지하차도,200,268.17,0,0,4.5,0,0,0,2,1
"MULTIPOLYGON (((234117.304077148 419297.829101562,234146.129089355 419298.897888184,234158.799072266 419299.472106934,234175.914123535 419300.278076172,234207.507080078 419300.554870605,234236.960083008 419300.765075684,234244.706115723 419300.821105957,234282.594116211 419300.861877441,234309.526123047 419301.092102051,234310.499084473 419283.707092285,234277.001098633 419283.502929688,234238.769104004 419283.506103516,234236.851074219 419283.507080078,234204.643127441 419283.527099609,234174.69708252 419283.37109375,234146.96307373 419282.983886719,234119.417114258 419280.356872559,234101.082 419278.86,234087.434 419278.483,234065.224 419275.502,234048.732 419272.755,233981.929 419257.556,233935.321 419241.88,233909.204 419233.194,233880.922 419223.584,233843.871 419210.434,233829.76 419204.957,233823.116 419220.975,233833.199 419224.975,233847.936 419230.475,233860.357 419235.0,233874.153 419239.727,233888.402 419244.554,233906.786 419250.715,233925.714 419257.082,233938.347 419261.255,233976.186 419274.002,234012.182 419281.401,234051.264 419287.379,234078.985 419290.357,234101.029 419292.1,234117.304077148 419297.829101562)))",지하차도,23,대전광역시 서구 ,36710056,46994,문예지하차도,495,8187.13,0,0,4.5,0,0,0,4,1
