지리정보(WKT),지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,지하차도명,총연장,총면적,구체연장,구체면적,구체높이,일반제원_통행제한 높이,폭원_계,폭원_차도,왕복차로수,대장초기화여부
"MULTIPOLYGON (((229742.470092773 421542.310119629,229742.530090332 421518.110107422,229724.50012207 421521.310119629,229724.530090332 421545.340087891,229742.470092773 421542.310119629)))",지하차도,34,대전광역시 유성구 ,36710044,14018,,24.5,433.66,0,0,5,0,0,0,2,1
"MULTIPOLYGON (((233886.880126953 409456.450073242,233886.380126953 409452.400085449,233864.680114746 409454.990112305,233865.259887695 409459.660095215,233886.880126953 409456.450073242)))",지하차도,35,대전광역시 중구 ,36710086,97726,,21.8,96,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((233886.300109863 409451.700073242,233885.390075684 409444.270080566,233863.690124512 409446.940124512,233864.350097656 409452.300109863,233864.600097656 409454.290100098,233886.300109863 409451.700073242)))",지하차도,36,대전광역시 중구 ,36710086,13625,,21.8,162.77,0,0,0,0,0,0,12,1
"MULTIPOLYGON (((234562.314527441 416132.850073239,234474.130126953 416155.960083008,234475.050109863 416155.989929199,234475.790100098 416156.210083008,234476.320129395 416157.020080566,234481.730102539 416178.660095215,234481.890075684 416179.489929199,234481.770080566 416180.119873047,234481.130126953 416180.910095215,234562.20473188 416160.790118364,234562.211126976 416159.159107669,234584.590087891 416153.310119629,234597.310119629 416149.980102539,234597.450073242 416149.950073242,234596.820129395 416149.140075684,234592.010070801 416130.25012207,234591.380126953 416126.900085449,234591.760070801 416125.92010498,234590.790100098 416126.17010498,234562.312095296 416133.408060562,234562.314527441 416132.850073239)))",지하차도,37,대전광역시 서구 ,36710066,14076,탄방지하차도,120,3089.03,0,0,0,0,0,0,11,1
"MULTIPOLYGON (((231309.544128418 414971.114074707,231318.419128418 414971.174072266,231359.712097168 414971.059082031,231413.82208252 414970.94708252,231424.437072754 414970.94909668,231459.082092285 414970.954101562,231513.004089355 414970.836120605,231551.520080566 414970.833129883,231579.69708252 414970.762084961,231579.539123535 414946.889099121,231559.083129883 414946.971130371,231532.438110352 414947.026123047,231508.223083496 414947.093078613,231484.551086426 414947.15411377,231456.068115234 414947.304077148,231424.523071289 414947.331115723,231416.167114258 414947.33807373,231384.510070801 414947.385070801,231324.468078613 414947.535095215,231309.153076172 414947.640075684,231193.021118164 414947.587097168,231146.95111084 414947.629089355,231101.159118652 414947.789123535,231057.223083496 414947.682128906,231016.439086914 414947.775085449,230975.598083496 414947.79510498,230940.131103516 414947.831115723,230940.342102051 414971.546081543,230963.800109863 414971.513122559,230975.513122559 414971.509094238,231000.516113281 414971.503112793,231039.083129883 414971.493103027,231085.823120117 414971.484130859,231129.690124512 414971.476074219,231192.644104004 414971.476074219,231309.544128418 414971.114074707)))",지하차도,38,대전광역시 유성구 ,36710064,31589,옥녀봉지하차도,640,15165.28,114.67,2773.74,3,4.5,24.16,24.16,8,1
"MULTIPOLYGON (((228272.17010498 415168.990112305,228266.330078125 415157.710083008,228244.810119629 415167.690124512,228251.040100098 415180.300109863,228272.17010498 415168.990112305)))",지하차도,39,대전광역시 유성구 ,36710063,56938,,23.8,318.97,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((228790.149859161 416191.791695319,228785.900017097 416183.491686915,228761.402832374 416187.473105665,228765.619964597 416195.861286602,228790.149859161 416191.791695319)))",지하차도,40,대전광역시 유성구 ,36710063,56941,,24,221.59,0,0,0,0,0,0,2,1
"MULTIPOLYGON (((228508.680114746 415632.220092773,228507.330078125 415629.740112305,228505.390075684 415630.830078125,228485.680114746 415641.990112305,228484.140075684 415642.870117188,228485.75012207 415645.540100098,228487.090087891 415644.760070801,228506.680114746 415633.380126953,228508.680114746 415632.220092773)))",지하차도,41,대전광역시 유성구 ,36710063,18315,,22.6,79.09,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((228498.330078125 415616.260070801,228496.92010498 415613.520080566,228475.730102539 415622.760070801,228477.590087891 415626.42010498,228498.330078125 415616.260070801)))",지하차도,42,대전광역시 유성구 ,36710063,56940,,23,82.95,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((228469.530090332 415554.630126953,228468.630126953 415552.110107422,228447.330078125 415567.110107422,228448.160095215 415568.790100098,228469.530090332 415554.630126953)))",지하차도,43,대전광역시 유성구 ,36710063,94523,,25.5,57.42,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((229997.667114258 415398.110107422,229997.626098633 415397.852111816,229987.850097656 415403.345092773,229986.985107422 415403.845092773,229977.046081543 415409.294128418,229977.153076172 415409.328125,229987.317077637 415426.780090332,230000.062072754 415447.194091797,230011.167114258 415464.257080078,230040.620117188 415508.064086914,230066.320129395 415546.438110352,230069.769104004 415551.586120605,230075.612121582 415560.318115234,230093.459106445 415586.986083984,230161.262084961 415687.278076172,230175.079101562 415707.874084473,230186.745117188 415724.807128906,230196.364074707 415739.179077148,230205.737121582 415753.165100098,230215.905090332 415768.412109375,230229.345092773 415788.508117676,230240.823120117 415805.561096191,230253.49810791 415824.505126953,230254.034118652 415825.306091309,230264.817077637 415841.37109375,230265.54510498 415842.452087402,230284.702087402 415830.358093262,230280.833129883 415824.601074219,230272.755126953 415812.579101562,230262.601074219 415797.392089844,230250.737121582 415779.816101074,230241.512084961 415765.921081543,230233.124084473 415753.309082031,230220.977111816 415735.268127441,230211.92010498 415721.908081055,230202.813110352 415708.37109375,230193.42010498 415694.482116699,230188.973083496 415687.854125977,230180.358093262 415674.833129883,230113.194091797 415574.450073242,230100.37310791 415555.29107666,230077.482116699 415521.208129883,230075.756103516 415518.622070312,230049.167114258 415478.778076172,230029.673095703 415449.450073242,230013.11907959 415424.024108887,230005.269104004 415410.984130859,229997.667114258 415398.110107422)))",지하차도,44,대전광역시 유성구 ,36710064,18318,상대지하차도,520,11986.8,101.74,2635.92,4,5.3,24.4,24.4,10,1
"MULTIPOLYGON (((229628.723 414973.069,229654.678100586 414972.87109375,229692.970092773 414972.69708252,229717.455078125 414972.785095215,229761.661071777 414972.698120117,229825.245117188 414972.722106934,229950.858093262 414972.321105957,230028.335083008 414972.398071289,230077.652099609 414972.37109375,230083.603088379 414972.367126465,230132.973083496 414972.364074707,230133.253112793 414972.484130859,230133.40411377 414972.669128418,230133.341125488 414949.057128906,230115.097106934 414949.167114258,230077.733093262 414949.188110352,230011.653076172 414949.224121094,229951.237121582 414949.313110352,229825.397094727 414949.450073242,229756.715087891 414949.568115234,229665.760070801 414949.762084961,229628.805 414948.874,229620.935 414948.855,229608.316 414948.854,229571.72 414948.898,229571.794 414973.104,229611.693 414973.103,229628.723 414973.069)))",지하차도,45,대전광역시 유성구 ,36710064,18317,도안지하차도,562,13077.46,0,0,10,0,24,0,12,1
"MULTIPOLYGON (((230317.21307373 411566.120117188,230301.37109375 411561.885070801,230282.992126465 411557.056091309,230265.329101562 411553.318115234,230260.617126465 411552.321105957,230229.895080566 411547.319091797,230214.038085938 411545.234130859,230177.456115723 411542.809082031,230154.835083008 411542.560119629,230136.484130859 411542.378112793,230114.752075195 411542.632080078,230112.07409668 411542.663085938,230089.524108887 411543.067077637,230054.399108887 411544.430114746,229993.409118652 411546.798095703,229982.081115723 411547.241088867,229934.863098145 411548.190124512,229892.556091309 411549.229125977,229872.938110352 411549.782104492,229861.880126953 411550.094116211,229851.582092285 411550.402099609,229822.413085938 411551.276123047,229796.318115234 411551.876098633,229770.331115723 411552.40612793,229771.372070312 411574.249084473,229783.102111816 411573.953125,229809.234130859 411573.179077148,229832.165100098 411572.622070312,229851.060119629 411572.099121094,229852.584106445 411572.053100586,229873.142089844 411571.435119629,229879.478088379 411571.24407959,229900.460083008 411570.730102539,229924.499084473 411570.131103516,229950.29309082 411569.465087891,229970.945129395 411568.775085449,229993.836120605 411567.970092773,230053.581115723 411566.132080078,230089.448120117 411565.02911377,230113.223083496 411564.431091309,230132.461120605 411564.097106934,230135.87310791 411564.038085938,230155.006103516 411563.839111328,230168.711120605 411564.115112305,230191.426086426 411565.262084961,230217.892089844 411567.596130371,230238.770080566 411570.639099121,230259.065124512 411574.140075684,230260.969116211 411574.542114258,230278.103088379 411578.160095215,230296.37512207 411582.896118164,230308.095092773 411585.934082031,230326.130126953 411591.185119629,230331.800109863 411570.181091309,230317.21307373 411566.120117188)))",지하차도,46,대전광역시 서구 ,36710074,14092,관저지하차도,560,12127.04,0,0,5,0,0,0,6,1
"MULTIPOLYGON (((234861.520080566 419251.840087891,234863.210083008 419250.910095215,234779.650085449 419252.060119629,234780.480102539 419252.290100098,234781.600097656 419252.910095215,234782.360107422 419253.550109863,234783.460083008 419255.220092773,234783.800109863 419256.200073242,234784.470092773 419274.830078125,234784.270080566 419275.970092773,234783.710083008 419277.270080566,234782.330078125 419278.67010498,234781.490112305 419279.00012207,234861.470092773 419277.130126953,234861.400085449 419277.070129395,234860.450073242 419275.990112305,234859.740112305 419274.580078125,234859.780090332 419255.360107422,234859.860107422 419254.67010498,234860.760070801 419252.930114746,234861.520080566 419251.840087891)))",지하차도,47,대전광역시 서구 ,36710056,41367,엑스포지하차도,75.6,2025.58,0,0,26.5,0,0,0,6,1
