"DST_YR","DST_TYPE_CD","DST_SN","RGN_CD","FLDN_SITU_SN","FLDN_BGNG_DT","FLSU_EXPC_DT","FLDN_HR_HR","FLDN_HR_MIN","FLDN_BFR_AREA","FLDN_RCFILD_AREA","FLDN_CTY_AREA","FLDN_BLDG_VILAGE_CNT","FLSU_BFR_AREA","FLSU_RCFILD_AREA","FLSU_CTY_AREA","FLSU_BLDG_VILAGE_CNT","DAM_DT","DAM_RGN_DONG_CD","DAM_RGN_DADDR","DAM_FACTR_CD","VLD_DTIN_SE","WRTR_ID","WRT_DT","MDFR_ID","MDFCN_DT","MAAS_OBNT_DT"
"재해연도","재해유형코드","재해일련번호","지역코드","침수상황일련번호","침수시작일시","퇴수예상일시","침수시간시간","침수시간분","침수전면적","침수답면적","침수도시면적","침수건물동수","퇴수전면적","퇴수답면적","퇴수도시면적","퇴수건물동수","피해일시","피해지역행정동코드","피해지역상세주소","피해요인코드","유효데이터구분","작성자아이디","작성일시","수정자아이디","수정일시","행정안전부입수일시"
"2012","001010","18","4482500000","1","2012/07/30 14:20:00","2012/07/30 15:20:00","1","0","5","0","0","0","5","0","0","0","2012/07/30 14:20:00","4482525000","","018001","V","4482501001","2012/07/30 15:35:00","4482501001","2012/07/30 15:35:00","2012/07/31 00:13:01"
"2012","001010","18","4482500000","2","2012/07/30 14:20:00","2012/07/30 15:20:00","1","0","5","0","0","0","5","0","0","0","2012/07/30 14:20:00","4482525000","","018001","V","4482501001","2012/07/30 15:35:00","4482501001","2012/07/30 15:35:00","2012/07/31 00:13:01"
"2012","001010","18","4423000000","1","2012/07/30 14:00:00","2012/07/30 21:00:00","7","0","1","1","2","0","0","0","0","0","2012/07/30 14:00:00","4423052000","","018001","V","4423001001","2012/07/30 15:54:00","4423001001","2012/07/30 15:54:00","2012/07/31 00:13:01"
"2012","001010","18","4141000000","3","2012/07/30 15:24:00","2012/07/30 15:24:00","0","0","0","0","0.5","0","0","0","0","0","2012/07/30 15:24:00","4141051000","1","018001","V","4141009001","2012/07/30 15:45:00","4141009001","2012/07/30 15:45:00","2012/07/31 00:13:01"
"2012","001010","20","2820000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:41:00","2820067000","711","018001","V","2820013001","2012/08/01 14:42:00","2820013001","2012/08/01 14:42:00","2012/08/01 23:32:59"
"2012","001010","20","2824500000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:45:00","2824564000","111","018001","V","282450S1","2012/08/01 14:47:00","282450S1","2012/08/01 14:47:00","2012/08/01 23:32:59"
"2012","001010","20","2820000000","2","2012/08/01 14:30:00","2012/08/01 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:47:00","2820067000","","018001","U","2820009001","2012/08/01 14:48:00","2820009001","2012/08/01 14:48:00","2012/08/01 23:32:59"
"2012","001010","20","2820000000","3","2012/08/01 14:30:00","2012/08/01 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:47:00","2820067000","","018001","D","2820009001","2012/08/01 14:48:00","2820009001","2012/08/01 14:48:00","2012/08/01 23:32:59"
"2012","001010","20","2820000000","4","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:48:00","2820067000","711","018001","U","2820013001","2012/08/01 14:49:00","2820013001","2012/08/01 14:50:00","2012/08/01 23:32:59"
"2012","001010","20","2826000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/07/20 15:00:00","2826058000","410번지","018001","V","2826009001","2012/08/01 14:49:00","2826009001","2012/08/01 14:49:00","2012/08/01 23:32:59"
