연번,시설물명,위치,총연장(m),길이(m)박스구간,길이(m)유타입구간,폭(m),준공일,형식
1,고속종점지하차도,인천광역시 미추홀구 아암대로(용현동 575-1),500,190,310,16.5,1996,박스형
2,석암지하차도,인천광역시 미추홀구 주안로(주안동 883),424.5,208,216.5,15,1991,박스형
3,용현지하차도,인천광역시 미추홀구 인주대로(용현동 101),340,80,260,22,1992,박스형
4,문학지하차도,인천광역시 미추홀구 매소홀로(학익동 717),420,90,330,15.5,1997,박스형
