"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"1168000000","10993","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:01","2024/02/19 09:59:31","2020"
"1171000000","9540","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:01","2024/02/19 09:59:31","2020"
"1174000000","10245","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:02","2024/02/19 09:59:31","2020"
"2600000000","144283","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:03","2024/02/19 09:59:31","2020"
"2611000000","2904","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:03","2024/02/19 09:59:31","2020"
"2614000000","6865","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:04","2024/02/19 09:59:31","2020"
"2617000000","7087","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:05","2024/02/19 09:59:31","2020"
"2620000000","9132","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:05","2024/02/19 09:59:31","2020"
"2623000000","14457","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:06","2024/02/19 09:59:31","2020"
"2626000000","7232","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:06","2024/02/19 09:59:31","2020"
"2629000000","7853","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:07","2024/02/19 09:59:31","2020"
"2632000000","15676","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:07","2024/02/19 09:59:31","2020"
"2635000000","14572","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:08","2024/02/19 09:59:31","2020"
"2638000000","15926","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:08","2024/02/19 09:59:31","2020"
"2641000000","9112","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:09","2024/02/19 09:59:31","2020"
"2644000000","2743","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:10","2024/02/19 09:59:31","2020"
"2647000000","7213","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:10","2024/02/19 09:59:31","2020"
"2650000000","5763","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:11","2024/02/19 09:59:31","2020"
"2653000000","11548","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:11","2024/02/19 09:59:31","2020"
"2671000000","6200","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:12","2024/02/19 09:59:31","2020"
"2700000000","98350","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:12","2024/02/19 09:59:31","2020"
"2711000000","3157","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:13","2024/02/19 09:59:31","2020"
"2714000000","15457","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:13","2024/02/19 09:59:31","2020"
"2717000000","10679","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:14","2024/02/19 09:59:31","2020"
"2720000000","10457","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:15","2024/02/19 09:59:31","2020"
"2723000000","13290","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:15","2024/02/19 09:59:31","2020"
"2726000000","14707","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:16","2024/02/19 09:59:31","2020"
"2729000000","22914","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:16","2024/02/19 09:59:31","2020"
"2771000000","7689","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:17","2024/02/19 09:59:31","2020"
"2800000000","98775","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:17","2024/02/19 09:59:31","2020"
"2811000000","4373","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:18","2024/02/19 09:59:31","2020"
"2814000000","2825","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:19","2024/02/19 09:59:31","2020"
"2817000000","16164","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:19","2024/02/19 09:59:31","2020"
"2818500000","8514","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:20","2024/02/19 09:59:31","2020"
"2820000000","19902","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:20","2024/02/19 09:59:31","2020"
"2823700000","20749","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:21","2024/02/19 09:59:31","2020"
"2824500000","8945","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:21","2024/02/19 09:59:31","2020"
"2826000000","13732","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:22","2024/02/19 09:59:31","2020"
"2871000000","3086","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:22","2024/02/19 09:59:31","2020"
"2872000000","485","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:24","2024/02/19 09:59:31","2020"
"2900000000","63847","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:25","2024/02/19 09:59:31","2020"
"2911000000","5891","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:25","2024/02/19 09:59:31","2020"
"2914000000","12644","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:26","2024/02/19 09:59:31","2020"
"2915500000","9488","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:27","2024/02/19 09:59:31","2020"
"2917000000","21872","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:27","2024/02/19 09:59:31","2020"
"2920000000","13952","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:28","2024/02/19 09:59:31","2020"
"3000000000","49191","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:28","2024/02/19 09:59:31","2020"
"3011000000","11948","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:29","2024/02/19 09:59:31","2020"
"3014000000","10044","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:29","2024/02/19 09:59:31","2020"
