순번,시설물명,위치,도로폭(미터),도로길이(미터),준공년도,1_2종 시설물,비고
1,송내지하차도,인천광역시 부평구 구산동,19.6,191,1995,1종,펌프장
2,굴포천역지하차도,인천광역시 부평구 부개동,16.5,180,2013,2종,펌프장
3,동수지하차도,인천광역시 부평구 부평동,19.6,60,2005,3종,
4,동암굴다리,인천광역시 부평구 십정동,27.8,49,1979,3종,
